Calendar Year,Measure,Age Filter,Users,Users Annotation code,Users Annotation Description,Denominator (3 Months Continuous Eligibility),Denominator Annotation code,Denominator Annotation Description,Utilization %,Utilization Annotation code,Utilization Annotation Description
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"95,896",,,"1,243,924",,,7.71%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"180,136",,,"2,438,453",,,7.39%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"43,839",,,"674,012",,,6.50%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"316,481",,,"1,192,271",,,26.54%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"23,569",,,"546,142",,,4.32%,,
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age <1,,3,No data available,"237,656",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 10-14,"145,995",,,"1,459,208",,,10.01%,,
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 1-2,,3,No data available,"581,236",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 15-18,,3,No data available,"1,085,000",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 19-20,,3,No data available,"479,530",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 21-34,,3,No data available,"2,798,498",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 3-5,,3,No data available,"880,582",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 35-44,,3,No data available,"1,243,924",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 45-64,,3,No data available,"2,438,453",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 65-74,,3,No data available,"674,012",,,,3,No data available
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 6-9,"212,235",,,"1,192,271",,,17.80%,,
CY 2017,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 75+,,3,No data available,"546,142",,,,3,No data available
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"1,077",,,"237,656",,,0.45%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"705,651",,,"1,459,208",,,48.36%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"106,128",,,"581,236",,,18.26%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"401,151",,,"1,085,000",,,36.97%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"100,318",,,"479,530",,,20.92%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"293,562",,,"2,798,498",,,10.49%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"399,665",,,"880,582",,,45.39%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"135,532",,,"1,243,924",,,10.90%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"265,856",,,"2,438,453",,,10.90%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"68,011",,,"674,012",,,10.09%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"651,866",,,"1,192,271",,,54.67%,,
CY 2017,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"43,140",,,"546,142",,,7.90%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age <1,"5,985",,,"221,667",,,2.70%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 1-2,"147,491",,,"554,003",,,26.62%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 3-5,"454,532",,,"853,884",,,53.23%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 6-9,"697,337",,,"1,143,911",,,60.96%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 10-14,"806,194",,,"1,453,262",,,55.47%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 15-18,"494,030",,,"1,069,724",,,46.18%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 19-20,"139,497",,,"465,831",,,29.95%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 21-34,"563,255",,,"2,737,872",,,20.57%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 35-44,"285,309",,,"1,236,026",,,23.08%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 45-64,"609,892",,,"2,358,129",,,25.86%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 65-74,"180,249",,,"692,976",,,26.01%,,
CY 2018,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 75+,"126,172",,,"555,584",,,22.71%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"1,309",,,"221,667",,,0.59%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"94,256",,,"554,003",,,17.01%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"402,247",,,"853,884",,,47.11%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"658,001",,,"1,143,911",,,57.52%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"755,049",,,"1,453,262",,,51.96%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"448,294",,,"1,069,724",,,41.91%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"122,510",,,"465,831",,,26.30%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"462,072",,,"2,737,872",,,16.88%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"230,720",,,"1,236,026",,,18.67%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"486,661",,,"2,358,129",,,20.64%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"141,236",,,"692,976",,,20.38%,,
CY 2018,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"95,568",,,"555,584",,,17.20%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"1,175",,,"221,667",,,0.53%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"99,628",,,"554,003",,,17.98%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"387,735",,,"853,884",,,45.41%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"630,422",,,"1,143,911",,,55.11%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"710,500",,,"1,453,262",,,48.89%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"406,469",,,"1,069,724",,,38.00%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"100,877",,,"465,831",,,21.66%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"324,411",,,"2,737,872",,,11.85%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"156,575",,,"1,236,026",,,12.67%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"302,518",,,"2,358,129",,,12.83%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"81,358",,,"692,976",,,11.74%,,
CY 2018,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"49,634",,,"555,584",,,8.93%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,258,,,"221,667",,,0.12%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"20,192",,,"554,003",,,3.64%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"184,354",,,"853,884",,,21.59%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"383,641",,,"1,143,911",,,33.54%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"378,243",,,"1,453,262",,,26.03%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"248,614",,,"1,069,724",,,23.24%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"73,234",,,"465,831",,,15.72%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"345,045",,,"2,737,872",,,12.60%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"186,285",,,"1,236,026",,,15.07%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"412,838",,,"2,358,129",,,17.51%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"125,158",,,"692,976",,,18.06%,,
CY 2018,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"92,309",,,"555,584",,,16.61%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,"3,298",,,"221,667",,,1.49%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"134,555",,,"554,003",,,24.29%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"435,475",,,"853,884",,,51.00%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"671,272",,,"1,143,911",,,58.68%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"773,640",,,"1,453,262",,,53.23%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"464,139",,,"1,069,724",,,43.39%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"128,771",,,"465,831",,,27.64%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"509,279",,,"2,737,872",,,18.60%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"255,029",,,"1,236,026",,,20.63%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"537,820",,,"2,358,129",,,22.81%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"156,625",,,"692,976",,,22.60%,,
CY 2018,Use of Diagnostic Services (D0100 - D0999 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"107,453",,,"555,584",,,19.34%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,"2,933",,,"221,667",,,1.32%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"129,144",,,"554,003",,,23.31%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"428,246",,,"853,884",,,50.15%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"664,985",,,"1,143,911",,,58.13%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"761,395",,,"1,453,262",,,52.39%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"438,851",,,"1,069,724",,,41.02%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"111,523",,,"465,831",,,23.94%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"353,393",,,"2,737,872",,,12.91%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"169,489",,,"1,236,026",,,13.71%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"352,197",,,"2,358,129",,,14.94%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"99,510",,,"692,976",,,14.36%,,
CY 2018,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"61,728",,,"555,584",,,11.11%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,48,,,"221,667",,,0.02%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"12,582",,,"554,003",,,2.27%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"156,314",,,"853,884",,,18.31%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"306,395",,,"1,143,911",,,26.78%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"281,221",,,"1,453,262",,,19.35%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"190,472",,,"1,069,724",,,17.81%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"49,855",,,"465,831",,,10.70%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"221,992",,,"2,737,872",,,8.11%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"113,543",,,"1,236,026",,,9.19%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"212,653",,,"2,358,129",,,9.02%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"54,581",,,"692,976",,,7.88%,,
CY 2018,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"28,856",,,"555,584",,,5.19%,,
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age <1,,3,No data available,"221,667",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 1-2,,3,No data available,"554,003",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 3-5,,3,No data available,"853,884",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 6-9,"196,904",,,"1,143,911",,,17.21%,,
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 10-14,"144,024",,,"1,453,262",,,9.91%,,
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 15-18,,3,No data available,"1,069,724",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 19-20,,3,No data available,"465,831",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 21-34,,3,No data available,"2,737,872",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 35-44,,3,No data available,"1,236,026",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 45-64,,3,No data available,"2,358,129",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 65-74,,3,No data available,"692,976",,,,3,No data available
CY 2018,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 75+,,3,No data available,"555,584",,,,3,No data available
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age <1,"9,426",,,"190,723",,,4.94%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 1-2,"168,347",,,"514,382",,,32.73%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 3-5,"458,445",,,"821,102",,,55.83%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 6-9,"681,876",,,"1,090,999",,,62.50%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 10-14,"808,219",,,"1,419,735",,,56.93%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 15-18,"494,465",,,"1,039,477",,,47.57%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 19-20,"139,441",,,"442,679",,,31.50%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 21-34,"570,013",,,"2,548,046",,,22.37%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 35-44,"295,333",,,"1,181,250",,,25.00%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 45-64,"615,273",,,"2,209,413",,,27.85%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 65-74,"193,839",,,"699,801",,,27.70%,,
CY 2019,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 75+,"134,104",,,"558,160",,,24.03%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"2,299",,,"190,723",,,1.21%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"109,863",,,"514,382",,,21.36%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"390,780",,,"821,102",,,47.59%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"620,923",,,"1,090,999",,,56.91%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"718,380",,,"1,419,735",,,50.60%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"413,005",,,"1,039,477",,,39.73%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"103,675",,,"442,679",,,23.42%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"343,875",,,"2,548,046",,,13.50%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"170,331",,,"1,181,250",,,14.42%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"322,974",,,"2,209,413",,,14.62%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"93,030",,,"699,801",,,13.29%,,
CY 2019,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"57,077",,,"558,160",,,10.23%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,"1,670",,,"190,723",,,0.88%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"69,917",,,"514,382",,,13.59%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"279,183",,,"821,102",,,34.00%,,
